section,region_id,source_pixels,source_centroid_x,source_centroid_y,aligned_centroid_x,aligned_centroid_y,z,strongest_otsu_pixels,bcore_pixels
086,25,4759,942.1430972893465,1887.0670308888423,886.4963370055222,1958.819093889594,420.0,1804,4526
086,27,1365,1038.6102564102564,2008.8505494505494,958.8926468155364,2083.6243288648907,420.0,125,920
086,28,17129,935.9853464884114,2072.3532605522796,856.0486969865922,2128.2541349155676,420.0,2697,10920
086,29,15285,1113.8930978083088,2079.3551193981025,1018.6727898605791,2158.4769856299527,420.0,3219,9357
091,6,6442,1536.2871778950637,1502.8703818689849,1486.8839642331943,1654.7242842920898,445.0,2470,5276
091,9,5740,1802.6165505226481,1572.9674216027875,1721.3607683410478,1756.8244059818417,445.0,44,2146
091,14,36697,1487.6604627081233,1769.4397907185873,1404.4159007246092,1892.4494454030528,445.0,1033,15468
091,18,27781,954.9564090565494,2047.0041395198157,876.1187556999323,2071.606049356733,445.0,2148,10934
091,20,16106,1127.5224140072023,2111.920526511859,1025.278408519872,2155.6532934112975,445.0,1696,6963
097,6,6793,1617.2942735168556,1563.1582511408803,1534.5292524043055,1671.004155465213,475.0,1865,4212
097,9,30765,1785.3403217942466,1681.0841215667153,1677.8906416550346,1796.7470417348372,475.0,1889,8817
097,13,14067,1430.4905807919245,1879.8571123907016,1330.1604514376693,1944.588143584532,475.0,205,4158
097,14,3021,961.2648129758359,1931.0675273088382,891.6191507588388,1944.7201195376688,475.0,752,1494
097,16,23533,945.3835040156376,2138.117409595037,856.140941759994,2134.2567567504257,475.0,1688,6836
097,18,9934,1119.5756996174753,2243.5636198912825,1006.4334151601814,2249.096883441114,475.0,2222,4264
102,6,16242,1770.7220169929813,1592.8970570126833,1727.1311099570332,1764.2231491390964,500.0,2080,5171
102,7,20524,1572.7332878581174,1642.4748587020074,1538.1827538754471,1780.8926455627493,500.0,734,2674
102,10,20813,1366.1289578628741,1864.1012828520636,1316.2981032614866,1954.0976254202212,500.0,572,6104
102,13,54326,971.8365975775872,2133.5845267459413,915.1705850396846,2143.892084250188,500.0,6243,15792
106,9,2246,1686.313446126447,1614.806767586821,1530.109512785313,1702.811859713765,520.0,69,917
